T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
,,,,,,,,81.83333333333333
30.5,35,23,1008.1,28,5.5,12.2,22.2,105.33333333333333
30.7,38,20.5,1007.6,25,5.5,11.5,27.8,117.75
31.7,39,23,1008.2,23,5.6,14.6,25.9,20.791666666666668
,,,,,,,,64.79166666666667
,,,,,,,,87.375
,,,,,,,,84.5
30.6,37,20,1006.1,21,5.3,14.6,29.4,46.916666666666664
32.7,40,21,1005.3,20,5.5,10,18.3,104.625
34.4,42,24.5,1004.9,17,5.3,16.3,25.9,109.625
,,,,,,,,63.458333333333336
,,,,,,,,77.04166666666667
,,,,,,,,110.875
33.9,40,24,1006.5,22,5.5,12.6,29.4,42.958333333333336
34.6,40,25.4,1006.8,23,5.5,13.7,22.2,0.0
34.4,40.2,26.5,1004.4,17,5.3,16.7,29.4,30.875
,,,,,,,,75.58333333333333
,,,,,,,,106.95833333333333
,,,,,,,,120.875
33.4,39,24,1005.4,23,5.6,13.7,29.4,79.91666666666667
33.5,40,27,-,19,5.6,15.9,27.8,0.0
32.2,39.4,25,1005.3,23,5.3,11.1,18.3,0.0
,,,,,,,,0.0
-,-,-,-,-,-,-,-,38.5
,,,,,,,,94.75
35.1,41,26,1002.7,20,5.3,15.6,29.4,142.5
34,40,26,1003.2,23,5.3,16.7,29.4,133.375
34.6,40,27,1004.2,24,5.5,15,22.2,102.41666666666667
,,,,,,,,101.75
,,,,,,,,117.95833333333333
,,,,,,,,147.83333333333334
31.3,36.2,24,1005.9,40,5.5,11.3,18.3,158.29166666666666
31.4,39.4,24.6,1006.1,40,5.5,13.9,29.4,149.58333333333334
29.9,40.4,22.9,1007.5,47,5.3,13.5,18.3,107.29166666666667
,,,,,,,,96.25
,,,,,,,,76.25
,,,,,,,,101.5
36.7,42,27,1001.8,24,5.5,17,25.9,106.5
36.1,43,29.5,1002.8,19,5.3,21.7,37,128.125
36.4,43,27.5,1002,20,5.6,15.7,27.8,108.0
,,,,,,,,125.625
,,,,,,,,137.16666666666666
,,,,,,,,101.95833333333333
37.2,44.4,29.5,995.8,23,5.5,8.9,14.8,98.41666666666667
39.7,46,30.2,994.3,16,5.6,22.4,44.6,94.375
37.7,43,32,997.3,28,5.5,31.3,51.9,118.5
,,,,,,,,89.54166666666667
,,,,,,,,87.25
,,,,,,,,107.625
35.1,40,29.4,1000.4,36,5.3,29.6,50,110.41666666666667
35.1,41,28.5,1000.8,38,5.6,20.7,33.5,95.83333333333333
35.7,40,29,1001.7,35,5.5,23.9,27.8,93.5
,,,,,,,,97.625
,,,,,,,,76.95833333333333
,,,,,,,,72.25
34.8,40.5,27,1002.3,37,5.6,17.4,27.8,38.666666666666664
35.9,41.5,29.8,1001.4,32,5.3,17.8,44.6,45.375
38,42,31,1001.6,28,5.1,15,27.8,65.16666666666667
34.3,42,31,1001.2,37,4.7,12.8,27.8,67.08333333333333
,,,,,,,,80.04166666666667
,,,,,,,,74.16666666666667
,,,,,,,,66.08333333333333
35.3,42,24,-,40,5.6,16.3,25.9,77.66666666666667
34.8,42,27.4,999.2,36,5.5,11.9,22.2,70.25
35,41,28.8,999.6,38,5.5,17.4,29.4,75.125
,,,,,,,,37.166666666666664
,,,,,,,,57.375
,,,,,,,,56.291666666666664
35.1,39,29,1000.8,37,5.5,21.9,37,77.0
33.7,38,28.6,999.8,41,5.5,22.8,33.5,32.958333333333336
32.4,37,28,998.4,46,5.1,23.3,40.7,40.833333333333336
,,,,,,,,42.541666666666664
,,,,,,,,93.08333333333333
,,,,,,,,80.625
29.8,35,23.6,1000.4,69,3.7,9.8,21.7,90.70833333333333
30.1,37,26,999.7,69,4,10.2,22.2,97.29166666666667
30.1,36,24.2,1000.1,70,4,9.4,18.3,79.83333333333333
,,,,,,,,87.75
,,,,,,,,63.5
,,,,,,,,50.708333333333336
27.2,31,23.3,1002.3,76,4,13.9,22.2,40.375
28.4,34.2,24,1000.9,77,3.7,13.5,33.5,49.416666666666664
29.1,34.5,23,999.5,75,3.7,13.3,22.2,43.666666666666664
,,,,,,,,52.166666666666664
,,,,,,,,49.583333333333336
,,,,,,,,61.875
29.3,33,24,998.3,74,4.2,15.2,22.2,0.0
27.6,30.5,24,998.5,86,4,10,22.2,29.666666666666668
24.9,27,23.8,999.3,94,3.5,9.3,14.8,47.75
,,,,,,,,37.708333333333336
,,,,,,,,33.083333333333336
,,,,,,,,49.125
24.8,25.5,22.3,999.9,92,1.6,20.7,27.8,43.666666666666664
25.4,27,24,997.8,94,1.9,24.1,33.5,29.833333333333332
24.1,25,23.6,996.2,97,1.1,25.2,42.4,29.666666666666668
,,,,,,,,56.708333333333336
,,,,,,,,39.25
,,,,,,,,35.208333333333336
25.3,27.2,23.4,1000.4,92,3.5,15,18.3,37.625
26.2,29,23.9,1001.3,87,4,15.7,22.2,41.458333333333336
26.1,28,24,1001.8,86,4,16.3,22.2,53.125
,,,,,,,,54.875
,,,,,,,,65.75
,,,,,,,,38.583333333333336
27.1,30,24,1003.7,81,3.7,17.6,25.9,36.0
27.5,31,23.8,1002.9,80,3.7,12,14.8,70.58333333333333
28,32,25,1002.1,78,3.7,13.9,22.2,52.458333333333336
,,,,,,,,36.583333333333336
,,,,,,,,45.583333333333336
,,,,,,,,33.166666666666664
27.8,32.2,25.2,1002.5,84,3.1,11.1,44.6,38.25
26.2,31,24,1003.3,93,2.9,8.9,18.3,26.583333333333332
25.6,29,23.8,1003.4,93,4,13.3,22.2,57.583333333333336
,,,,,,,,30.708333333333332
,,,,,,,,35.375
,,,,,,,,15.416666666666666
25.9,28,23.7,1001.9,89,3.5,12.8,22.2,41.375
24.3,26,23.6,999.8,97,1.9,15.9,22.2,25.541666666666668
24.5,26.2,22.8,997.3,95,2.3,13.7,55.4,28.375
25.1,28.2,23,997,94,2.3,15.4,33.5,40.333333333333336
,,,,,,,,39.333333333333336
,,,,,,,,41.833333333333336
,,,,,,,,50.333333333333336
23.4,24,23,1000.8,98,1.9,17,27.8,35.375
24.5,26,22.9,1001.6,92,2.7,19.3,27.8,31.916666666666668
24.6,26,23,1000.7,90,2.7,19.8,27.8,36.791666666666664
,,,,,,,,33.291666666666664
,,,,,,,,35.5
,,,,,,,,35.291666666666664
24.8,26,23.4,1003.1,94,3.4,17.6,22.2,26.833333333333332
24.7,26.5,22.8,1002.4,92,2.4,18.9,25.9,21.125
25.3,27,23,1002,86,3.4,18.7,25.9,18.0
,,,,,,,,28.041666666666668
,,,,,,,,34.875
,,,,,,,,35.708333333333336
22.7,24,21.6,999.9,96,1.4,27.6,53.9,43.583333333333336
21.9,22.5,21.4,999.9,98,1.8,28,33.5,46.041666666666664
23.6,25.5,21.3,1002.6,90,4,18.7,33.5,28.75
,,,,,,,,70.54166666666667
,,,,,,,,58.541666666666664
,,,,,,,,82.875
26.6,31,23,1004.8,82,4,9.6,14.8,64.91666666666667
26.3,30,23.4,1005,85,3.7,6.7,14.8,30.666666666666668
25.6,28,23.8,1004.3,93,2.6,7.2,-,31.75
,,,,,,,,41.041666666666664
,,,,,,,,45.25
,,,,,,,,34.416666666666664
25.7,29,24,1003.4,91,3.1,11.1,22.2,33.166666666666664
25.3,30,23,1004,89,3.7,15,25.9,30.625
26.1,29.6,23.6,1003.9,85,3.4,17.6,27.8,30.333333333333332
25.8,29,22.7,1004.5,80,3.7,15.6,22.2,31.75
,,,,,,,,34.208333333333336
,,,,,,,,11.625
,,,,,,,,0.0
25.7,29.5,21.2,1006.6,74,4,14.3,18.3,0.0
25.9,29.5,22,1006.9,78,3.1,12.8,22.2,0.0
26.6,31,22.6,1007.8,74,3.7,17,27.8,0.0
,,,,,,,,0.0
,,,,,,,,26.166666666666668
,,,,,,,,76.875
28.1,32.5,22.7,1006,68,4,10.6,14.8,83.45833333333333
27.8,31.5,23.1,1005.5,73,4,8.7,16.5,71.66666666666667
25.9,31,23,1004.8,84,3.5,10.2,14.8,65.625
,,,,,,,,53.375
,,,,,,,,56.083333333333336
,,,,,,,,69.70833333333333
27.9,33,23.8,1004.3,78,4.7,7.6,22.2,62.375
27.6,32.2,24,-,76,5,12,20.6,24.875
25.2,29,23,-,86,-,10.7,16.5,37.333333333333336
,,,,,,,,50.125
,,,,,,,,46.541666666666664
,,,,,,,,43.958333333333336
27.7,32,22.6,1004.5,71,5,10.6,22.2,41.5
27.2,32,22.8,1005.6,72,4.7,9.8,22.2,38.791666666666664
28.6,32.2,22.8,1005.7,66,5,12.4,27.8,48.916666666666664
,,,,,,,,76.91666666666667
,,,,,,,,34.458333333333336
,,,,,,,,30.333333333333332
26.9,31,23.6,1005.8,83,3.9,9.6,14.8,26.666666666666668
27.4,32,24,1007,79,3.9,9.1,18.3,29.0
27.7,32,23.8,1006.3,77,4.8,9.3,14.8,34.25
,,,,,,,,62.708333333333336
,,,,,,,,65.08333333333333
,,,,,,,,61.708333333333336
25.7,30,23,1007.1,88,3.4,7.6,14.8,60.541666666666664
26.6,30.5,23,1006.8,83,4.7,8.3,11.1,41.583333333333336
27.1,33,22.7,1006.2,73,4,11.7,22.2,50.916666666666664
,,,,,,,,40.958333333333336
,,,,,,,,60.666666666666664
,,,,,,,,80.04166666666667
25.6,31,18.2,1009.7,57,5.1,8.9,14.8,82.83333333333333
26,32,18.8,1010.2,56,4.8,8,14.8,95.25
26.4,33,20.4,1010.9,62,5.1,4.4,9.4,115.83333333333333
,,,,,,,,149.66666666666666
,,,,,,,,145.58333333333334
,,,,,,,,126.16666666666667
26.4,32,17.9,1009,43,5,10.7,18.3,136.70833333333334
24.7,32,17.9,1007.5,50,5,6.5,9.4,160.66666666666666
24.7,32.5,16.8,1008.6,54,5.3,7,51.9,173.58333333333334
,,,,,,,,168.625
,,,,,,,,174.66666666666666
,,,,,,,,245.66666666666666
24.1,30,19.4,1009.5,55,4.8,13.5,18.3,261.6666666666667
25.4,31,17.6,1012.1,45,5,8.9,18.3,272.4166666666667
24.8,31,16.6,1013.2,49,5,8.1,14.8,226.29166666666666
,,,,,,,,291.7083333333333
,,,,,,,,207.33333333333334
,,,,,,,,149.625
23.1,30,14,1016.1,46,4.2,8,14.8,99.70833333333333
22.7,30.4,14.8,1015.5,46,4,7.2,16.5,217.375
22.6,29,14.2,1014.7,49,4.3,5.6,11.1,309.375
22.1,29,14,1014.5,52,4.8,5.9,22.2,166.91666666666666
,,,,,,,,429.1666666666667
,,,,,,,,332.4583333333333
,,,,,,,,321.5416666666667
21.6,30,14,1013.2,43,3.9,9.1,18.3,278.0
22.9,29.5,12.5,1014.9,37,3.9,5.7,11.1,192.33333333333334
20.1,30,12.4,1015.2,45,2.7,7,18.3,235.33333333333334
,,,,,,,,153.29166666666666
-,-,-,-,-,-,-,-,171.54166666666666
,,,,,,,,224.16666666666666
,,,,,,,,196.75
22.1,29.2,12.6,1015.4,45,4,6.7,14.8,221.54166666666666
20.5,29,13.2,1015,54,3.9,6.9,11.1,210.54166666666666
19.5,28,12.5,1016.3,53,3.5,5,11.1,251.20833333333334
,,,,,,,,172.83333333333334
,,,,,,,,166.70833333333334
,,,,,,,,130.70833333333334
20.8,31,11.8,1013.5,52,3.5,4.1,9.4,194.70833333333334
20.8,29,12.7,1013.9,53,4,4.8,7.6,250.875
20.1,29,12,1013.7,51,4,3.9,11.1,274.875
,,,,,,,,207.91666666666666
,,,,,,,,134.45833333333334
,,,,,,,,110.0
20.2,29.5,11.9,1014.7,51,4,5.7,11.1,160.0
20.1,29.5,11.9,1014.7,50,4,5,11.1,217.91666666666666
19.7,29,11.3,1014.7,50,4,4.6,11.1,184.20833333333334
,,,,,,,,130.91666666666666
,,,,,,,,118.91666666666667
21.2,29,13.2,1015.1,47,3.7,7.6,11.1,176.375
19.5,26.5,13.8,1016.5,60,1.9,10,18.3,185.95833333333334
18.7,26,13.2,1018.8,71,1.9,7,9.4,195.375
,,,,,,,,151.04166666666666
,,,,,,,,170.875
,,,,,,,,239.125
18.6,27,10.6,1016.3,58,3.7,6.5,9.4,365.2916666666667
18.2,27,10.2,1015.6,60,3.2,7.2,14.8,312.2083333333333
17.7,25.5,10.4,1014.2,59,3.7,4.1,11.1,237.625
,,,,,,,,179.33333333333334
,,,,,,,,122.54166666666667
,,,,,,,,121.33333333333333
20.2,28,13,1014.2,52,3.7,8.5,14.8,202.875
22,26.2,14.6,1016.3,42,4.7,9.4,14.8,260.1666666666667
19.2,27,10.6,1016.3,52,4.5,7.2,14.8,403.9583333333333
,,,,,,,,455.5833333333333
,,,,,,,,382.7083333333333
,,,,,,,,277.7083333333333
16.9,25,9.2,1017.2,65,4.2,5.4,11.1,284.1666666666667
18.4,25,9,1016.8,56,4.5,5.4,16.5,288.4166666666667
17.4,25.5,8,1017.3,56,4.3,6.5,11.1,256.8333333333333
,,,,,,,,175.75
,,,,,,,,180.79166666666666
,,,,,,,,166.91666666666666
18.9,26,11,1014.4,52,4.8,11.1,18.3,169.0
15.8,22,7.5,1017.1,55,3.9,7.4,11.1,186.04166666666666
17,24.7,9,1017.3,63,2.1,9.8,14.8,185.58333333333334
,,,,,,,,114.08333333333333
,,,,,,,,140.45833333333334
,,,,,,,,108.08333333333333
-,-,-,-,-,-,-,-
